"Step","gpt2-small-lion-10k - val/loss","gpt2-small-lion-10k - val/loss__MIN","gpt2-small-lion-10k - val/loss__MAX"
"0","10.862689971923828","10.862689971923828","10.862689971923828"
"1000","4.596378326416016","4.596378326416016","4.596378326416016"
"2000","4.1142754554748535","4.1142754554748535","4.1142754554748535"
"3000","3.9695215225219727","3.9695215225219727","3.9695215225219727"
"4000","3.860964059829712","3.860964059829712","3.860964059829712"
"5000","3.805659532546997","3.805659532546997","3.805659532546997"
"6000","3.7383692264556885","3.7383692264556885","3.7383692264556885"
"7000","3.6797902584075928","3.6797902584075928","3.6797902584075928"
"8000","3.648833990097046","3.648833990097046","3.648833990097046"
"9000","3.6019155979156494","3.6019155979156494","3.6019155979156494"
"10000","3.605764865875244","3.605764865875244","3.605764865875244"