"Step","gpt2-small-adamW-10k - val/loss","gpt2-small-adamW-10k - val/loss__MIN","gpt2-small-adamW-10k - val/loss__MAX"
"0","10.862689971923828","10.862689971923828","10.862689971923828"
"1000","4.4333882331848145","4.4333882331848145","4.4333882331848145"
"2000","4.151670932769775","4.151670932769775","4.151670932769775"
"3000","4.105630874633789","4.105630874633789","4.105630874633789"
"4000","4.028703212738037","4.028703212738037","4.028703212738037"
"5000","3.9734585285186768","3.9734585285186768","3.9734585285186768"
"6000","3.907078742980957","3.907078742980957","3.907078742980957"
"7000","3.846073865890503","3.846073865890503","3.846073865890503"
"8000","3.794034004211426","3.794034004211426","3.794034004211426"
"9000","3.715153217315674","3.715153217315674","3.715153217315674"
"10000","3.667860746383667","3.667860746383667","3.667860746383667"
"11000","3.6178817749023438","3.6178817749023438","3.6178817749023438"
"12000","3.6204841136932373","3.6204841136932373","3.6204841136932373"