"Step","gpt2-small-adamW-10k - val/loss","gpt2-small-adamW-10k - val/loss__MIN","gpt2-small-adamW-10k - val/loss__MAX","gpt2-small-sophiag-10k - val/loss","gpt2-small-sophiag-10k - val/loss__MIN","gpt2-small-sophiag-10k - val/loss__MAX"
"0","10.862689971923828","10.862689971923828","10.862689971923828","10.868173599243164","10.868173599243164","10.868173599243164"
"1000","4.506587028503418","4.506587028503418","4.506587028503418","4.871219635009766","4.871219635009766","4.871219635009766"
"2000","4.15579891204834","4.15579891204834","4.15579891204834","4.220472812652588","4.220472812652588","4.220472812652588"
"3000","4.085250377655029","4.085250377655029","4.085250377655029","4.027246475219727","4.027246475219727","4.027246475219727"
"4000","4.011796474456787","4.011796474456787","4.011796474456787","3.9062061309814453","3.9062061309814453","3.9062061309814453"
"5000","3.9230432510375977","3.9230432510375977","3.9230432510375977","3.837920904159546","3.837920904159546","3.837920904159546"
"6000","3.854426383972168","3.854426383972168","3.854426383972168","3.798905372619629","3.798905372619629","3.798905372619629"
"7000","3.7555320262908936","3.7555320262908936","3.7555320262908936","3.736010789871216","3.736010789871216","3.736010789871216"
"8000","3.6984546184539795","3.6984546184539795","3.6984546184539795","3.7044260501861572","3.7044260501861572","3.7044260501861572"
"9000","3.6238958835601807","3.6238958835601807","3.6238958835601807","3.6767730712890625","3.6767730712890625","3.6767730712890625"
"10000","3.6212658882141113","3.6212658882141113","3.6212658882141113","3.6689536571502686","3.6689536571502686","3.6689536571502686"